[ ' Time [s]',
  'SuperCapV-Analog',
  ' Time [s]',
  'AC_Present-Digital',
  ' Time [s]',
  'BB_shutdown-Digital',
  ' Time [s]',
  'PIC3.3V-Digital' ]
 Time [s]
SuperCapV-Analog
 Time [s]
AC_Present-Digital
 Time [s]
BB_shutdown-Digital
 Time [s]
PIC3.3V-Digital
cols = 4
SuperCapV-Analog, AC_Present-Digital, BB_shutdown-Digital, PIC3.3V-Digital
85.213, 98.523, 13.309, 4.953
115.304, 116.319, 1.015, 4.953
225.287, 238.518, 13.232, 4.953
255.374, 256.389, 1.015, 4.958
364.842, 377.586, 12.744, 4.953
394.930, 395.945, 1.015, 4.953
503.600, 533.594, 29.994, 4.953
533.690, 534.705, 1.015, 4.948
649.622, 662.913, 13.291, 4.953
679.708, 680.723, 1.015, 4.958
788.403, 801.916, 13.513, 4.958
818.495, 819.510, 1.015, 4.963
926.516, 939.704, 13.188, 4.953
956.607, 957.622, 1.015, 4.963
1063.727, 1076.816, 13.089, 4.948
1093.813, 1094.828, 1.015, 4.958
1203.892, 1217.025, 13.133, 4.953
1233.984, 1234.999, 1.015, 4.958
1343.302, 1373.294, 29.992, 4.953
1373.391, 1374.406, 1.015, 4.948
1483.175, 1513.170, 29.995, 4.953
1513.267, 1514.282, 1.015, 4.953
1629.701, 1643.485, 13.784, 4.948
1659.793, 1660.808, 1.015, 4.958
1774.971, 1788.003, 13.032, 4.953
1805.063, 1806.078, 1.015, 4.958
1912.550, 1925.270, 12.720, 4.953
1942.639, 1943.654, 1.015, 4.958
2059.528, 2072.845, 13.317, 4.953
2089.619, 2090.634, 1.015, 4.958
2204.852, 2217.827, 12.975, 4.953
2234.944, 2235.959, 1.015, 4.958
2348.839, 2362.155, 13.316, 4.953
2378.929, 2379.944, 1.015, 4.958
2487.878, 2501.141, 13.263, 4.953
2517.969, 2518.984, 1.015, 4.963
2632.409, 2645.176, 12.766, 4.953
2662.501, 2663.516, 1.015, 4.958
2777.650, 2807.641, 29.991, 4.958
2807.737, 2808.752, 1.015, 4.953
2917.832, 2930.965, 13.132, 4.953
2947.925, 2948.939, 1.015, 4.958
3054.784, 3084.775, 29.991, 4.953
3084.875, 3085.889, 1.015, 4.953
3194.403, 3207.094, 12.691, 4.953
3224.492, 3225.507, 1.015, 4.963
3339.143, 3352.703, 13.560, 4.958
3369.231, 3370.246, 1.015, 4.958
3480.188, 3510.182, 29.994, 4.953
3510.279, 3511.294, 1.015, 4.953
3627.518, 3657.512, 29.994, 4.953
3657.609, 3658.624, 1.015, 4.948
3773.389, 3786.829, 13.440, 4.953
