[ ' Time [s]',
  'SuperCapV-Analog',
  ' Time [s]',
  'AC_Present-Digital',
  ' Time [s]',
  'BB_shutdown-Digital',
  ' Time [s]',
  'PIC3.3V-Digital' ]
 Time [s]
SuperCapV-Analog
 Time [s]
AC_Present-Digital
 Time [s]
BB_shutdown-Digital
 Time [s]
PIC3.3V-Digital
cols = 4
SuperCapV-Analog, AC_Present-Digital, BB_shutdown-Digital, PIC3.3V-Digital
0.000, 15.751, 15.751, 4.812
125.461, 138.249, 12.788, 4.852
325.251, 340.151, 14.899, 4.766
509.066, 522.072, 13.006, 4.842
705.203, 719.132, 13.929, 4.807
917.005, 940.457, 23.453, 4.041
1222.978, 1246.527, 23.549, 4.031
1522.928, 1535.639, 12.711, 4.827
1715.934, 1728.537, 12.603, 4.857
1946.294, 1958.892, 12.598, 4.852
2156.964, 2170.071, 13.107, 4.842
2335.947, 2349.323, 13.376, 4.817
2507.653, 2520.275, 12.622, 4.857
2680.289, 2693.485, 13.196, 4.842
2890.712, 2914.827, 24.115, 4.041
3202.226, 3215.735, 13.509, 4.802
3399.142, 3423.036, 23.893, 4.041
3688.679, 3701.759, 13.080, 4.827
3889.237, 3901.421, 12.184, 4.872
4092.293, 4104.966, 12.673, 4.867
4265.668, 4278.979, 13.311, 4.817
4488.277, 4500.616, 12.339, 4.867
4695.111, 4707.937, 12.826, 4.857
4906.743, 4919.699, 12.956, 4.852
5126.938, 5140.996, 14.057, 4.797
5333.045, 5345.682, 12.637, 4.837
5529.949, 5542.380, 12.431, 4.862
5726.965, 5739.689, 12.724, 4.857
5902.399, 5914.855, 12.456, 4.867
6115.446, 6129.413, 13.967, 4.797
6334.620, 6347.617, 12.997, 4.832
6549.666, 6562.092, 12.425, 4.857
6736.913, 6749.760, 12.847, 4.847
6953.197, 6977.255, 24.057, 4.031
7283.343, 7306.918, 23.575, 4.036
7567.957, 7591.636, 23.680, 4.016
7865.649, 7878.082, 12.433, 4.842
8072.191, 8084.813, 12.622, 4.852
8258.686, 8272.390, 13.704, 4.812
8461.425, 8475.073, 13.648, 4.812
8651.094, 8663.907, 12.813, 4.842
8877.288, 8901.346, 24.057, 4.016
9169.740, 9182.850, 13.110, 4.827
9402.788, 9416.049, 13.261, 4.817
9625.928, 9638.491, 12.563, 4.852
9813.824, 9838.139, 24.315, 4.016
10090.881, 10103.184, 12.304, 4.847
10309.182, 10333.156, 23.974, 4.031
10619.375, 10632.858, 13.483, 4.797
10798.896, 10812.268, 13.372, 4.827
10993.453, 10997.475, 4.022, 4.913
11176.652, 11200.865, 24.212, 4.031
11459.368, 11472.505, 13.137, 4.807
11675.914, 11689.484, 13.570, 4.807
11864.940, 11888.681, 23.741, 4.036
12154.775, 12167.470, 12.695, 4.822
12329.207, 12342.090, 12.884, 4.842
12521.106, 12544.929, 23.823, 4.046
12850.322, 12863.421, 13.099, 4.832
13064.638, 13088.641, 24.003, 4.036
13382.796, 13395.382, 12.586, 4.837
13579.338, 13592.384, 13.047, 4.837
13812.766, 13836.616, 23.850, 4.041
14128.468, 14152.137, 23.669, 4.036
14454.740, 14467.283, 12.543, 4.842
14669.503, 14682.791, 13.288, 4.827
14874.140, 14897.767, 23.627, 4.041
15170.781, 15183.471, 12.691, 4.832
15358.810, 15382.730, 23.920, 4.041
15683.995, 15696.693, 12.698, 4.832
15862.042, 15874.324, 12.282, 4.857
16050.488, 16063.943, 13.455, 4.832
16236.406, 16249.557, 13.151, 4.842
16436.821, 16450.332, 13.511, 4.817
16623.891, 16636.934, 13.044, 4.842
16833.675, 16846.591, 12.916, 4.842
17015.906, 17029.493, 13.587, 4.822
17223.559, 17236.364, 12.805, 4.847
17394.706, 17418.258, 23.551, 4.046
17685.706, 17699.030, 13.324, 4.807
17870.093, 17883.074, 12.981, 4.817
18057.063, 18080.738, 23.675, 4.041
18342.611, 18366.472, 23.862, 4.016
18679.637, 18692.745, 13.108, 4.812
18885.335, 18898.518, 13.182, 4.832
19080.236, 19093.292, 13.056, 4.837
