[ ' Time [s]',
  'SuperCapV-Analog',
  ' Time [s]',
  'AC_Present-Digital',
  ' Time [s]',
  'BB_shutdown-Digital',
  ' Time [s]',
  'PIC3.3V-Digital' ]
 Time [s]
SuperCapV-Analog
 Time [s]
AC_Present-Digital
 Time [s]
BB_shutdown-Digital
 Time [s]
PIC3.3V-Digital
cols = 4
SuperCapV-Analog, AC_Present-Digital, BB_shutdown-Digital, PIC3.3V-Digital
168.167, 180.863, 12.696, 4.832
340.387, 353.802, 13.415, 4.827
549.928, 563.101, 13.173, 4.837
731.184, 744.077, 12.893, 4.852
938.086, 951.238, 13.152, 4.837
1133.039, 1146.431, 13.392, 4.827
1331.483, 1344.140, 12.657, 4.857
1519.882, 1532.801, 12.919, 4.852
1740.886, 1753.984, 13.098, 4.842
1948.386, 1961.260, 12.874, 4.847
2117.950, 2130.860, 12.910, 4.842
2352.230, 2365.725, 13.495, 4.822
2572.775, 2585.547, 12.772, 4.857
2743.293, 2767.071, 23.778, 4.036
3037.086, 3050.078, 12.992, 4.822
3237.246, 3250.679, 13.433, 4.812
3447.282, 3471.181, 23.899, 4.021
3765.810, 3778.758, 12.948, 4.807
3989.931, 4002.960, 13.029, 4.837
4183.327, 4197.685, 14.358, 4.797
4356.209, 4369.025, 12.817, 4.842
4565.051, 4578.116, 13.066, 4.827
4762.350, 4786.436, 24.086, 4.006
5048.784, 5061.229, 12.445, 4.852
5226.311, 5239.205, 12.894, 4.847
5413.502, 5426.526, 13.024, 4.832
5598.848, 5612.223, 13.375, 4.822
5822.334, 5835.353, 13.018, 4.847
6049.042, 6062.922, 13.880, 4.812
6269.624, 6293.686, 24.062, 4.016
6596.261, 6608.995, 12.733, 4.832
6826.148, 6839.191, 13.042, 4.827
7032.878, 7045.729, 12.851, 4.837
7256.061, 7280.002, 23.941, 4.026
7571.153, 7584.835, 13.682, 4.792
7757.091, 7770.097, 13.006, 4.837
7952.538, 7976.148, 23.610, 4.036
8269.261, 8282.406, 13.144, 4.827
8480.669, 8493.105, 12.436, 4.857
8667.067, 8680.475, 13.408, 4.827
8845.030, 8858.089, 13.059, 4.837
9048.257, 9061.163, 12.906, 4.847
9221.128, 9233.948, 12.820, 4.852
9420.942, 9433.529, 12.587, 4.857
9602.233, 9626.260, 24.027, 4.036
9907.948, 9920.180, 12.232, 4.852
10083.936, 10108.133, 24.197, 4.031
10395.141, 10408.220, 13.079, 4.822
10622.737, 10636.186, 13.449, 4.817
10814.223, 10826.627, 12.405, 4.857
11007.075, 11031.449, 24.375, 4.016
11302.472, 11315.237, 12.766, 4.832
11487.908, 11511.689, 23.781, 4.031
11775.275, 11788.486, 13.211, 4.832
11993.360, 12006.449, 13.089, 4.832
12199.327, 12223.571, 24.244, 4.026
12523.905, 12536.923, 13.018, 4.827
12750.770, 12763.956, 13.186, 4.817
12971.437, 12984.614, 13.177, 4.827
13166.076, 13190.071, 23.995, 4.031
13501.604, 13525.341, 23.737, 4.026
13785.955, 13799.268, 13.313, 4.802
13970.417, 13983.875, 13.458, 4.812
14152.722, 14176.657, 23.935, 4.036
14442.311, 14455.819, 13.508, 4.807
14619.682, 14632.748, 13.066, 4.827
14789.362, 14802.201, 12.839, 4.847
14990.529, 15003.875, 13.346, 4.832
15170.775, 15183.516, 12.740, 4.852
15375.279, 15399.390, 24.111, 4.026
15692.555, 15716.262, 23.707, 4.036
15978.051, 15991.118, 13.067, 4.822
16183.441, 16195.999, 12.559, 4.842
16353.649, 16366.012, 12.364, 4.867
16561.782, 16575.205, 13.423, 4.822
16772.653, 16785.419, 12.766, 4.847
16993.585, 17017.697, 24.112, 4.026
17315.316, 17339.068, 23.752, 4.006
17650.748, 17664.157, 13.410, 4.797
17845.215, 17857.982, 12.767, 4.827
18019.866, 18032.322, 12.456, 4.862
18226.978, 18240.354, 13.376, 4.827
18442.282, 18455.473, 13.191, 4.817
18653.965, 18666.321, 12.356, 4.862
18847.219, 18871.611, 24.392, 4.026
19174.566, 19188.057, 13.491, 4.787
19370.091, 19383.824, 13.733, 4.797
19548.041, 19560.735, 12.695, 4.847
19771.083, 19784.371, 13.288, 4.827
19978.075, 19991.233, 13.158, 4.847
